timestamp,impl,strategy,page,network,run,url,perf_score,fcp_ms,lcp_ms,tbt_ms,cls,tti_ms,si_ms,max_fid_ms,requests,js_requests,js_transfer_kb,js_resource_kb,total_transfer_kb,lcp_element,runtime_error,warnings,duration_s
2026-09-22T22:53:06.566Z,A,Module Federation,home,slow-3g,1,http://localhost:3000/,60,3984,31662,88,0.005,5441,7591,110,23,11,98.4,266.7,1618.4,WD 4TB Gaming Drive Works with Playstation 4 Portable Extern,,0,54.0
2026-09-22T22:53:59.342Z,B,Single-SPA,home,slow-3g,1,http://localhost:3100/,59,4354,31780,31,0.005,5477,7447,78,20,8,71.8,198.6,1592.2,WD 4TB Gaming Drive Works with Playstation 4 Portable Extern,,0,52.8
2026-09-22T22:54:50.513Z,A,Module Federation,plp,slow-3g,1,http://localhost:3000/products,57,4054,29043,74,0.0317,5550,11051,124,22,11,98.6,268.3,1503.4,Fjallraven - Foldsack No. 1 Backpack  Fits 15 Laptops,,0,51.2
2026-09-22T22:55:43.218Z,B,Single-SPA,plp,slow-3g,1,http://localhost:3100/products,57,4368,32145,26,0.0317,5610,12909,74,19,8,72.3,200.5,1477.5,Fjallraven - Foldsack No. 1 Backpack  Fits 15 Laptops,,0,52.7
2026-09-22T22:56:10.176Z,A,Module Federation,pdp,slow-3g,1,http://localhost:3000/product/1,64,3970,11017,12,0.0652,5231,4453,62,16,11,98.4,267,371.9,Fjallraven - Foldsack No. 1 Backpack  Fits 15 Laptops,,0,27.0
2026-09-22T22:56:37.088Z,B,Single-SPA,pdp,slow-3g,1,http://localhost:3100/product/1,64,4418,11055,15,0.0652,5270,4211,65,13,8,71.8,199.2,345.8,Fjallraven - Foldsack No. 1 Backpack  Fits 15 Laptops,,0,26.9
2026-09-22T22:56:57.310Z,A,Module Federation,cart,slow-3g,1,http://localhost:3000/cart,80,3978,3978,0,0,3978,2266,31,14,11,97.9,266.8,102.8,© 2026 ShopMFE  a dissertation benchmark app. Data from Fake,,0,20.2
2026-09-22T22:57:17.981Z,B,Single-SPA,cart,slow-3g,1,http://localhost:3100/cart,76,4438,4438,0,0,4438,1682,30,11,8,71.6,198.8,77,© 2026 ShopMFE  a dissertation benchmark app. Data from Fake,,0,20.7
2026-09-22T22:57:37.926Z,A,Module Federation,home,fast-4g,1,http://localhost:3000/,89,1165,3658,81,0.005,2206,1794,106,21,11,98.4,266.7,1256.7,WD 4TB Gaming Drive Works with Playstation 4 Portable Extern,,0,19.9
2026-09-22T22:57:57.759Z,B,Single-SPA,home,fast-4g,1,http://localhost:3100/,85,2432,3852,24,0.005,2535,2686,74,18,8,71.8,198.6,1230.5,WD 4TB Gaming Drive Works with Playstation 4 Portable Extern,,0,19.8
2026-09-22T22:58:18.140Z,A,Module Federation,plp,fast-4g,1,http://localhost:3000/products,95,1224,2712,93,0.0317,2240,2015,117,20,11,98.6,268.3,1208.8,Fjallraven - Foldsack No. 1 Backpack  Fits 15 Laptops,,0,20.4
2026-09-22T22:58:38.632Z,B,Single-SPA,plp,fast-4g,1,http://localhost:3100/products,86,2399,3691,36,0.0317,2793,3145,86,17,8,72.3,200.5,1182.9,Fjallraven - Foldsack No. 1 Backpack  Fits 15 Laptops,,0,20.5
2026-09-22T22:58:57.055Z,A,Module Federation,pdp,fast-4g,1,http://localhost:3000/product/1,94,1210,2960,25,0.0652,2253,1614,75,16,11,98.4,267,371.9,Fjallraven - Foldsack No. 1 Backpack  Fits 15 Laptops,,0,18.4
2026-09-22T22:59:15.166Z,B,Single-SPA,pdp,fast-4g,1,http://localhost:3100/product/1,93,2488,2734,0,0,2488,2503,16,13,8,71.8,199.2,345.8,Fjallraven - Foldsack No. 1 Backpack  Fits 15 Laptops,,0,18.1
2026-09-22T22:59:32.063Z,A,Module Federation,cart,fast-4g,1,http://localhost:3000/cart,100,1270,1270,0,0,1270,799,30,14,11,97.9,266.8,102.8,© 2026 ShopMFE  a dissertation benchmark app. Data from Fake,,0,16.9
