impl,n,network,page,cls_iqr,cls_max,cls_median,cls_min,fcp_ms_iqr,fcp_ms_max,fcp_ms_median,fcp_ms_min,js_requests_iqr,js_requests_max,js_requests_median,js_requests_min,js_transfer_kb_iqr,js_transfer_kb_max,js_transfer_kb_median,js_transfer_kb_min,lcp_element,lcp_ms_iqr,lcp_ms_max,lcp_ms_median,lcp_ms_min,perf_score_iqr,perf_score_max,perf_score_median,perf_score_min,requests_iqr,requests_max,requests_median,requests_min,si_ms_iqr,si_ms_max,si_ms_median,si_ms_min,tbt_ms_iqr,tbt_ms_max,tbt_ms_median,tbt_ms_min,total_transfer_kb_iqr,total_transfer_kb_max,total_transfer_kb_median,total_transfer_kb_min,tti_ms_iqr,tti_ms_max,tti_ms_median,tti_ms_min
A,1,broadband,cart,0.0,0.0,0.0,0.0,0.0,574.0,574.0,574.0,0.0,11.0,11.0,11.0,0.0,97.9,97.9,97.9,© 2026 ShopMFE  a dissertation benchmark app. Data from Fake,0.0,574.0,574.0,574.0,0.0,100.0,100.0,100.0,0.0,14.0,14.0,14.0,0.0,302.0,302.0,302.0,0.0,0.0,0.0,0.0,0.0,102.8,102.8,102.8,0.0,574.0,574.0,574.0
A,1,fast-4g,cart,0.0,0.0,0.0,0.0,0.0,1270.0,1270.0,1270.0,0.0,11.0,11.0,11.0,0.0,97.9,97.9,97.9,© 2026 ShopMFE  a dissertation benchmark app. Data from Fake,0.0,1270.0,1270.0,1270.0,0.0,100.0,100.0,100.0,0.0,14.0,14.0,14.0,0.0,799.0,799.0,799.0,0.0,0.0,0.0,0.0,0.0,102.8,102.8,102.8,0.0,1270.0,1270.0,1270.0
A,1,slow-3g,cart,0.0,0.0,0.0,0.0,0.0,3978.0,3978.0,3978.0,0.0,11.0,11.0,11.0,0.0,97.9,97.9,97.9,© 2026 ShopMFE  a dissertation benchmark app. Data from Fake,0.0,3978.0,3978.0,3978.0,0.0,80.0,80.0,80.0,0.0,14.0,14.0,14.0,0.0,2266.0,2266.0,2266.0,0.0,0.0,0.0,0.0,0.0,102.8,102.8,102.8,0.0,3978.0,3978.0,3978.0
A,1,broadband,home,0.0,0.005,0.005,0.005,0.0,632.0,632.0,632.0,0.0,11.0,11.0,11.0,0.0,98.4,98.4,98.4,WD 4TB Gaming Drive Works with Playstation 4 Portable Extern,0.0,1762.0,1762.0,1762.0,0.0,99.0,99.0,99.0,0.0,21.0,21.0,21.0,0.0,905.0,905.0,905.0,0.0,83.0,83.0,83.0,0.0,1256.7,1256.7,1256.7,0.0,1336.0,1336.0,1336.0
A,1,fast-4g,home,0.0,0.005,0.005,0.005,0.0,1165.0,1165.0,1165.0,0.0,11.0,11.0,11.0,0.0,98.4,98.4,98.4,WD 4TB Gaming Drive Works with Playstation 4 Portable Extern,0.0,3658.0,3658.0,3658.0,0.0,89.0,89.0,89.0,0.0,21.0,21.0,21.0,0.0,1794.0,1794.0,1794.0,0.0,81.0,81.0,81.0,0.0,1256.7,1256.7,1256.7,0.0,2206.0,2206.0,2206.0
A,1,slow-3g,home,0.0,0.005,0.005,0.005,0.0,3984.0,3984.0,3984.0,0.0,11.0,11.0,11.0,0.0,98.4,98.4,98.4,WD 4TB Gaming Drive Works with Playstation 4 Portable Extern,0.0,31662.0,31662.0,31662.0,0.0,60.0,60.0,60.0,0.0,23.0,23.0,23.0,0.0,7591.0,7591.0,7591.0,0.0,88.0,88.0,88.0,0.0,1618.4,1618.4,1618.4,0.0,5441.0,5441.0,5441.0
A,1,broadband,pdp,0.0,0.0,0.0,0.0,0.0,588.0,588.0,588.0,0.0,11.0,11.0,11.0,0.0,98.4,98.4,98.4,Fjallraven - Foldsack No. 1 Backpack  Fits 15 Laptops,0.0,1432.0,1432.0,1432.0,0.0,100.0,100.0,100.0,0.0,16.0,16.0,16.0,0.0,765.0,765.0,765.0,0.0,22.0,22.0,22.0,0.0,371.9,371.9,371.9,0.0,1100.0,1100.0,1100.0
A,1,fast-4g,pdp,0.0,0.0652,0.0652,0.0652,0.0,1210.0,1210.0,1210.0,0.0,11.0,11.0,11.0,0.0,98.4,98.4,98.4,Fjallraven - Foldsack No. 1 Backpack  Fits 15 Laptops,0.0,2960.0,2960.0,2960.0,0.0,94.0,94.0,94.0,0.0,16.0,16.0,16.0,0.0,1614.0,1614.0,1614.0,0.0,25.0,25.0,25.0,0.0,371.9,371.9,371.9,0.0,2253.0,2253.0,2253.0
A,1,slow-3g,pdp,0.0,0.0652,0.0652,0.0652,0.0,3970.0,3970.0,3970.0,0.0,11.0,11.0,11.0,0.0,98.4,98.4,98.4,Fjallraven - Foldsack No. 1 Backpack  Fits 15 Laptops,0.0,11017.0,11017.0,11017.0,0.0,64.0,64.0,64.0,0.0,16.0,16.0,16.0,0.0,4453.0,4453.0,4453.0,0.0,12.0,12.0,12.0,0.0,371.9,371.9,371.9,0.0,5231.0,5231.0,5231.0
A,1,broadband,plp,0.0,0.0317,0.0317,0.0317,0.0,700.0,700.0,700.0,0.0,11.0,11.0,11.0,0.0,98.6,98.6,98.6,Fjallraven - Foldsack No. 1 Backpack  Fits 15 Laptops,0.0,1922.0,1922.0,1922.0,0.0,100.0,100.0,100.0,0.0,20.0,20.0,20.0,0.0,1349.0,1349.0,1349.0,0.0,25.0,25.0,25.0,0.0,1208.8,1208.8,1208.8,0.0,1563.0,1563.0,1563.0
